sku,name,warehouse,stock,reorder,cost
MOD-68786,Cooling Fan - 1TB NVMe,Central Hub (WH-01),1857,172,$684.68
MOD-46261,CPU - Mechanical RGB,Central Hub (WH-01),3891,279,$456.77
SKU-EL-28150,HDD - 32GB DDR5,Central Hub (WH-01),3069,54,$276.90
PRD-HW-30028,CPU - 120mm PWM,Regional Depot (WH-02),2238,164,$617.58
COMP-61906,Monitor - Mid-Tower,West Coast Dist,441,360,$569.87
COMP-35110,Cable - 120mm PWM,West Coast Dist,463,466,$603.91
COMP-90161,Motherboard - 2TB 7200RPM,Express Logistics (WH-03),995,204,$18.17
PRD-HW-9863,Cable - Wireless,Central Hub (WH-01),1099,364,$734.04
PWR-74665,Keyboard - Mid-Tower,Express Logistics (WH-03),2795,158,$676.84
PRD-HW-18443,CPU - 120mm PWM,West Coast Dist,71,84,$408.26
PWR-84926,Cooling Fan - Intel Core i7,Central Hub (WH-01),1998,122,$89.53
SKU-EL-22340,RAM - Wireless,Regional Depot (WH-02),4026,252,$659.19
PRD-HW-43431,RAM - 2TB 7200RPM,Central Hub (WH-01),2289,405,$600.29
PWR-64507,HDD - RTX 4070,Express Logistics (WH-03),3299,187,$331.90
SKU-EL-84364,SSD - Mechanical RGB,Central Hub (WH-01),3492,343,$514.21
SKU-EL-9139,Monitor - Mid-Tower,Express Logistics (WH-03),2846,388,$103.58
PRD-HW-49148,RAM - 850W Gold,Express Logistics (WH-03),978,400,$779.31
COMP-56330,HDD - RTX 4070,Regional Depot (WH-02),4374,37,$454.83
SKU-EL-7090,CPU - Mid-Tower,Express Logistics (WH-03),3015,396,$476.14
PWR-55759,RAM - 1TB NVMe,Express Logistics (WH-03),1703,233,$274.32
COMP-95994,RAM - RTX 4070,Regional Depot (WH-02),1275,389,$446.45
SKU-EL-10683,CPU - 120mm PWM,Central Hub (WH-01),928,55,$559.09
SKU-EL-16040,Keyboard - 120mm PWM,East Coast Fulfillment,346,454,$220.20
COMP-93274,GPU - RTX 4070,Express Logistics (WH-03),3217,317,$32.25
PRD-HW-20400,RAM - USB-C 2m,West Coast Dist,4866,375,$11.30
MOD-93288,Cable - Wireless,Express Logistics (WH-03),2043,423,$567.18
PRD-HW-66099,HDD - Wireless,West Coast Dist,4802,201,$380.39
MOD-85457,RAM - USB-C 2m,East Coast Fulfillment,87,161,$188.42
PRD-HW-2452,Cable - ATX,East Coast Fulfillment,678,127,$108.87
SKU-EL-12960,SSD - 2TB 7200RPM,East Coast Fulfillment,0,223,$45.91
MOD-43980,Monitor - 27-inch 4K,Regional Depot (WH-02),825,239,$451.92
MOD-70451,Power Supply - Wireless,West Coast Dist,3797,479,$175.41
SKU-EL-73537,Case - Intel Core i7,Central Hub (WH-01),4491,272,$713.72
SKU-EL-94395,GPU - Mid-Tower,Central Hub (WH-01),832,440,$126.15
PRD-HW-53723,Power Supply - 120mm PWM,Regional Depot (WH-02),2356,357,$749.44
PWR-57117,Case - 32GB DDR5,Central Hub (WH-01),380,74,$395.82
SKU-EL-96107,GPU - 1TB NVMe,Central Hub (WH-01),2700,243,$568.05
SKU-EL-40385,Keyboard - 32GB DDR5,Express Logistics (WH-03),2013,89,$516.69
COMP-33788,SSD - ATX,East Coast Fulfillment,493,233,$176.85
COMP-48636,Cable - Wireless,Regional Depot (WH-02),1686,70,$325.73
PWR-61290,Power Supply - 27-inch 4K,Regional Depot (WH-02),4244,428,$693.07
MOD-78042,GPU - Mechanical RGB,Express Logistics (WH-03),3296,416,$673.67
SKU-EL-3892,CPU - 27-inch 4K,West Coast Dist,2308,249,$220.70
PRD-HW-57292,Case - 1TB NVMe,Regional Depot (WH-02),417,164,$548.66
PWR-58546,Motherboard - 1TB NVMe,Regional Depot (WH-02),2148,271,$418.93
PRD-HW-97378,Keyboard - Wireless,East Coast Fulfillment,4198,494,$276.37
SKU-EL-16829,RAM - 850W Gold,West Coast Dist,2784,476,$61.00
SKU-EL-47094,GPU - Intel Core i7,Central Hub (WH-01),1899,121,$542.67
COMP-54490,GPU - Mechanical RGB,Regional Depot (WH-02),3497,373,$268.40
COMP-75071,RAM - Wireless,Express Logistics (WH-03),4627,205,$365.20
PRD-HW-25158,GPU - 27-inch 4K,Central Hub (WH-01),3490,477,$633.35
PRD-HW-95718,SSD - ATX,Express Logistics (WH-03),4623,313,$737.05
MOD-5972,Power Supply - Wireless,East Coast Fulfillment,977,266,$258.07
MOD-63560,Power Supply - 32GB DDR5,West Coast Dist,1667,140,$775.55
PRD-HW-60329,HDD - 27-inch 4K,Express Logistics (WH-03),3648,440,$317.32
COMP-7276,SSD - 120mm PWM,West Coast Dist,2279,147,$256.34
COMP-7196,Cooling Fan - 32GB DDR5,West Coast Dist,1833,182,$159.92
MOD-46031,SSD - Intel Core i7,West Coast Dist,832,388,$447.29
SKU-EL-55961,Monitor - Mechanical RGB,Express Logistics (WH-03),126,398,$164.20
COMP-59666,HDD - 120mm PWM,Express Logistics (WH-03),3214,166,$299.41
MOD-75767,Mouse - Mechanical RGB,Central Hub (WH-01),1277,264,$19.02
COMP-24001,Power Supply - 1TB NVMe,West Coast Dist,578,260,$328.38
SKU-EL-42353,Monitor - Intel Core i7,West Coast Dist,1684,36,$256.86
SKU-EL-34297,Cable - ATX,Express Logistics (WH-03),1019,433,$35.93
COMP-12324,GPU - 32GB DDR5,West Coast Dist,2554,196,$172.99
COMP-18754,Monitor - 1TB NVMe,East Coast Fulfillment,717,102,$621.46
PWR-90815,CPU - Mechanical RGB,West Coast Dist,4041,33,$159.10
MOD-8911,Keyboard - RTX 4070,East Coast Fulfillment,4148,343,$254.14
SKU-EL-90644,Keyboard - 850W Gold,Express Logistics (WH-03),2633,356,$144.06
PWR-10224,SSD - Intel Core i7,Express Logistics (WH-03),4160,25,$599.52
PRD-HW-1939,GPU - Wireless,East Coast Fulfillment,1419,142,$203.69
MOD-32447,RAM - 1TB NVMe,West Coast Dist,1228,137,$482.91
SKU-EL-95242,Monitor - 27-inch 4K,West Coast Dist,730,173,$467.13
PRD-HW-32757,SSD - 2TB 7200RPM,West Coast Dist,2586,164,$643.29
PRD-HW-95714,CPU - Wireless,Express Logistics (WH-03),477,22,$259.06
PRD-HW-40208,Cooling Fan - 120mm PWM,West Coast Dist,4954,76,$257.36
MOD-48610,Power Supply - 120mm PWM,Central Hub (WH-01),3415,38,$695.82
PWR-6297,RAM - 1TB NVMe,Central Hub (WH-01),3123,123,$135.51
MOD-38634,Monitor - 27-inch 4K,Regional Depot (WH-02),4918,207,$133.74
SKU-EL-74132,RAM - USB-C 2m,West Coast Dist,1481,273,$12.21
MOD-26516,Cooling Fan - Intel Core i7,Regional Depot (WH-02),716,92,$283.23
SKU-EL-4871,Power Supply - 850W Gold,East Coast Fulfillment,3050,491,$700.32
SKU-EL-48284,Cooling Fan - ATX,Express Logistics (WH-03),2721,189,$188.37
COMP-36388,Cooling Fan - Mid-Tower,Central Hub (WH-01),4547,259,$378.30
COMP-12429,HDD - 32GB DDR5,Regional Depot (WH-02),4432,16,$37.78
COMP-83738,Keyboard - RTX 4070,West Coast Dist,1330,310,$20.44
PWR-66879,Keyboard - 27-inch 4K,West Coast Dist,2519,221,$501.08
MOD-22862,GPU - Mid-Tower,East Coast Fulfillment,4138,159,$558.92
PRD-HW-77844,Mouse - 2TB 7200RPM,East Coast Fulfillment,3072,376,$725.76
SKU-EL-60200,Monitor - ATX,East Coast Fulfillment,4935,319,$502.36
PWR-18255,Cooling Fan - 27-inch 4K,West Coast Dist,4440,222,$799.96
MOD-84047,Case - RTX 4070,Central Hub (WH-01),3227,469,$592.35
MOD-72073,Cable - ATX,East Coast Fulfillment,925,19,$399.90
SKU-EL-43042,Mouse - 2TB 7200RPM,Central Hub (WH-01),1944,262,$184.97
COMP-74197,Cooling Fan - Wireless,Express Logistics (WH-03),3060,211,$577.81
MOD-67152,Motherboard - 2TB 7200RPM,East Coast Fulfillment,4936,479,$406.26
SKU-EL-91720,SSD - 850W Gold,West Coast Dist,1235,433,$41.57
PRD-HW-23743,SSD - Mid-Tower,Express Logistics (WH-03),3411,129,$20.22
MOD-87032,Monitor - USB-C 2m,Regional Depot (WH-02),2200,76,$569.19
COMP-21405,Mouse - 32GB DDR5,Express Logistics (WH-03),4999,410,$662.08
PRD-HW-3302,Power Supply - USB-C 2m,Central Hub (WH-01),1656,352,$792.47
COMP-23147,Motherboard - 1TB NVMe,Express Logistics (WH-03),3309,349,$591.78
MOD-38969,SSD - 850W Gold,West Coast Dist,3422,206,$384.02
COMP-12515,Monitor - USB-C 2m,Central Hub (WH-01),3675,440,$238.64
SKU-EL-91989,Keyboard - 27-inch 4K,Regional Depot (WH-02),3599,443,$210.21
COMP-51071,CPU - USB-C 2m,Regional Depot (WH-02),4923,209,$400.75
PWR-67593,Motherboard - 27-inch 4K,Regional Depot (WH-02),464,17,$564.28
SKU-EL-54009,Cable - 850W Gold,East Coast Fulfillment,4873,425,$106.57
SKU-EL-40803,RAM - Wireless,Regional Depot (WH-02),1722,237,$581.12
PRD-HW-84809,Keyboard - Mid-Tower,Central Hub (WH-01),1701,187,$187.45
COMP-4013,SSD - 2TB 7200RPM,East Coast Fulfillment,3882,352,$699.30
COMP-61917,GPU - Intel Core i7,West Coast Dist,894,496,$23.38
SKU-EL-78287,Monitor - USB-C 2m,West Coast Dist,1076,84,$581.50
SKU-EL-65784,Motherboard - 850W Gold,Central Hub (WH-01),4344,331,$291.35
SKU-EL-57545,CPU - 27-inch 4K,East Coast Fulfillment,2013,195,$176.49
MOD-23024,GPU - 1TB NVMe,East Coast Fulfillment,3414,89,$470.02
PRD-HW-84962,Cable - 2TB 7200RPM,Regional Depot (WH-02),3566,347,$98.60
PWR-51978,Power Supply - Wireless,West Coast Dist,2815,381,$781.88
PWR-55733,Power Supply - 32GB DDR5,Central Hub (WH-01),4616,357,$173.45
PWR-29267,Cooling Fan - 27-inch 4K,West Coast Dist,917,194,$597.74
PWR-41559,Power Supply - ATX,East Coast Fulfillment,2446,500,$60.39
MOD-11917,Keyboard - 27-inch 4K,Regional Depot (WH-02),1909,74,$736.70
COMP-99407,GPU - 32GB DDR5,Central Hub (WH-01),1067,26,$625.68
SKU-EL-91713,Monitor - ATX,West Coast Dist,1533,96,$132.78
COMP-98670,Keyboard - Intel Core i7,West Coast Dist,754,423,$640.88
PWR-21472,Monitor - 850W Gold,Central Hub (WH-01),4067,311,$303.78
PRD-HW-86782,HDD - 2TB 7200RPM,West Coast Dist,4860,274,$568.24
MOD-95547,Motherboard - Mid-Tower,East Coast Fulfillment,3161,416,$469.06
MOD-82663,Power Supply - USB-C 2m,Central Hub (WH-01),238,152,$779.24
PWR-43330,Case - 2TB 7200RPM,West Coast Dist,4019,36,$565.72
PWR-53785,GPU - Mid-Tower,Regional Depot (WH-02),898,295,$729.25
SKU-EL-80407,GPU - 32GB DDR5,Regional Depot (WH-02),3254,431,$528.23
PWR-80007,SSD - Mid-Tower,East Coast Fulfillment,4305,163,$705.09
PWR-54302,SSD - Mid-Tower,Central Hub (WH-01),1365,241,$162.70
PRD-HW-78590,Case - 1TB NVMe,East Coast Fulfillment,4225,89,$73.57
PRD-HW-32850,HDD - Mechanical RGB,Central Hub (WH-01),4888,339,$349.91
COMP-27318,Cooling Fan - ATX,Express Logistics (WH-03),2072,427,$393.75
MOD-63946,GPU - Wireless,Express Logistics (WH-03),825,161,$797.32
SKU-EL-97591,Case - 2TB 7200RPM,East Coast Fulfillment,1413,52,$653.14
PRD-HW-78491,Motherboard - 32GB DDR5,Express Logistics (WH-03),626,232,$697.67
MOD-69823,SSD - 2TB 7200RPM,East Coast Fulfillment,2734,130,$246.98
PWR-12168,Case - 32GB DDR5,Central Hub (WH-01),754,253,$732.60
COMP-74346,Case - Intel Core i7,Central Hub (WH-01),2009,246,$245.35
MOD-27228,Mouse - RTX 4070,West Coast Dist,4020,63,$363.49
PRD-HW-24651,Keyboard - 32GB DDR5,East Coast Fulfillment,2435,179,$21.53
COMP-80003,Power Supply - USB-C 2m,Regional Depot (WH-02),4984,211,$738.49
PWR-30993,RAM - 1TB NVMe,Express Logistics (WH-03),2896,26,$455.56
SKU-EL-25187,Motherboard - RTX 4070,Express Logistics (WH-03),1443,467,$147.36
PRD-HW-34559,HDD - 2TB 7200RPM,Regional Depot (WH-02),3849,202,$652.33
PWR-81299,RAM - 850W Gold,Central Hub (WH-01),4496,98,$42.59
SKU-EL-33838,HDD - 32GB DDR5,East Coast Fulfillment,3184,95,$764.24
COMP-19958,Monitor - Intel Core i7,Express Logistics (WH-03),1066,95,$362.00
SKU-EL-48503,RAM - Mid-Tower,East Coast Fulfillment,2764,129,$693.25
MOD-35468,Mouse - 32GB DDR5,Central Hub (WH-01),2182,451,$656.32
SKU-EL-10334,SSD - Intel Core i7,East Coast Fulfillment,4226,30,$467.00
MOD-91168,Keyboard - ATX,Express Logistics (WH-03),3620,394,$247.08
COMP-9563,Case - RTX 4070,East Coast Fulfillment,3177,181,$551.17
PWR-98384,SSD - USB-C 2m,East Coast Fulfillment,1743,397,$398.88
PRD-HW-3223,GPU - Mechanical RGB,Express Logistics (WH-03),3715,267,$361.11
COMP-13657,Mouse - 1TB NVMe,West Coast Dist,630,278,$280.59
SKU-EL-88244,GPU - ATX,West Coast Dist,502,283,$476.78
MOD-61845,Case - Intel Core i7,Central Hub (WH-01),269,355,$647.47
COMP-38164,Keyboard - Mechanical RGB,West Coast Dist,2507,205,$652.54
PWR-47868,Cooling Fan - 1TB NVMe,Express Logistics (WH-03),3199,211,$537.47
PWR-96461,Keyboard - 32GB DDR5,East Coast Fulfillment,4853,150,$215.74
COMP-92708,SSD - RTX 4070,West Coast Dist,76,151,$343.00
PWR-38860,Power Supply - 2TB 7200RPM,East Coast Fulfillment,2124,443,$700.91
MOD-72441,Case - 850W Gold,Central Hub (WH-01),2355,364,$336.49
COMP-28558,RAM - USB-C 2m,West Coast Dist,2061,473,$608.60
COMP-19868,GPU - 2TB 7200RPM,Regional Depot (WH-02),3591,447,$603.28
MOD-70976,SSD - Intel Core i7,East Coast Fulfillment,1399,203,$183.75
COMP-58857,HDD - RTX 4070,Central Hub (WH-01),3875,385,$754.13
PWR-11803,RAM - Mid-Tower,West Coast Dist,3884,297,$556.89
PRD-HW-18452,Mouse - USB-C 2m,Express Logistics (WH-03),2219,178,$23.30
PWR-72945,Cooling Fan - Mechanical RGB,Express Logistics (WH-03),4055,471,$793.08
PWR-83022,SSD - 32GB DDR5,Regional Depot (WH-02),4889,141,$767.38
PWR-13785,Power Supply - 850W Gold,West Coast Dist,2150,249,$83.19
MOD-72806,SSD - Intel Core i7,West Coast Dist,661,59,$742.79
PRD-HW-21266,Keyboard - RTX 4070,Express Logistics (WH-03),2694,88,$114.31
PRD-HW-45464,Cooling Fan - 120mm PWM,Regional Depot (WH-02),3235,397,$138.56
MOD-17773,Mouse - Mid-Tower,West Coast Dist,1255,486,$205.48
MOD-55978,Keyboard - Mid-Tower,East Coast Fulfillment,2692,487,$271.74
MOD-43398,CPU - 2TB 7200RPM,East Coast Fulfillment,1618,273,$218.15
PRD-HW-58173,RAM - Wireless,Central Hub (WH-01),1397,500,$342.63
SKU-EL-59579,Keyboard - 850W Gold,Express Logistics (WH-03),1893,36,$272.19
MOD-11746,HDD - 850W Gold,Regional Depot (WH-02),3365,120,$539.02
SKU-EL-11440,Cable - 2TB 7200RPM,East Coast Fulfillment,4575,28,$12.37
COMP-2697,HDD - RTX 4070,West Coast Dist,4248,375,$429.41
SKU-EL-53075,HDD - 32GB DDR5,East Coast Fulfillment,474,80,$143.38
SKU-EL-68774,GPU - Mid-Tower,Express Logistics (WH-03),4104,204,$631.90
PRD-HW-96023,HDD - USB-C 2m,Regional Depot (WH-02),500,365,$58.42
SKU-EL-85002,Case - 2TB 7200RPM,Regional Depot (WH-02),3644,152,$310.39
PWR-92097,GPU - Mid-Tower,East Coast Fulfillment,558,239,$158.88
PRD-HW-20668,Monitor - 1TB NVMe,Regional Depot (WH-02),3905,210,$432.89
PWR-62453,Keyboard - 27-inch 4K,West Coast Dist,4531,450,$331.50
PRD-HW-43153,HDD - 27-inch 4K,West Coast Dist,2962,49,$542.47
SKU-EL-93833,SSD - 27-inch 4K,East Coast Fulfillment,751,393,$205.87
MOD-87307,Keyboard - 120mm PWM,West Coast Dist,1711,431,$386.00
COMP-83565,Cooling Fan - 120mm PWM,Express Logistics (WH-03),2317,367,$597.04
PWR-27780,SSD - 32GB DDR5,West Coast Dist,3912,29,$737.40
PRD-HW-14672,SSD - Intel Core i7,West Coast Dist,117,215,$259.98
MOD-83578,Power Supply - RTX 4070,East Coast Fulfillment,4975,275,$733.94
MOD-97099,Case - RTX 4070,Express Logistics (WH-03),804,476,$584.38
PWR-11700,Motherboard - Intel Core i7,East Coast Fulfillment,2229,431,$596.93
PRD-HW-90801,Monitor - 1TB NVMe,Central Hub (WH-01),980,166,$694.66
SKU-EL-62095,Case - 32GB DDR5,East Coast Fulfillment,3199,47,$788.40
SKU-EL-39954,RAM - 27-inch 4K,Regional Depot (WH-02),892,125,$667.16
SKU-EL-18594,Monitor - RTX 4070,Express Logistics (WH-03),1824,139,$199.58
COMP-56488,Cooling Fan - 120mm PWM,West Coast Dist,3937,307,$732.80
SKU-EL-7347,Mouse - 850W Gold,Regional Depot (WH-02),812,165,$748.01
MOD-14197,Power Supply - Wireless,Regional Depot (WH-02),2555,42,$598.48
MOD-30643,GPU - Mid-Tower,Express Logistics (WH-03),4084,299,$764.99
MOD-6201,Monitor - 1TB NVMe,East Coast Fulfillment,335,465,$653.34
PWR-44365,GPU - 32GB DDR5,Regional Depot (WH-02),3793,372,$164.42
PRD-HW-99058,CPU - 850W Gold,West Coast Dist,2617,492,$573.78
PRD-HW-83558,RAM - USB-C 2m,West Coast Dist,1194,209,$391.71
MOD-40744,RAM - 2TB 7200RPM,West Coast Dist,2194,461,$168.60
PWR-2741,Cooling Fan - 120mm PWM,Regional Depot (WH-02),4652,69,$226.92
PWR-22809,Mouse - 32GB DDR5,Express Logistics (WH-03),2918,285,$725.59
SKU-EL-87664,Power Supply - 32GB DDR5,Central Hub (WH-01),2107,372,$159.45
PWR-68336,Case - Mechanical RGB,East Coast Fulfillment,3901,128,$690.36
PRD-HW-78355,HDD - Mechanical RGB,Regional Depot (WH-02),1448,310,$618.49
MOD-13626,Motherboard - 32GB DDR5,West Coast Dist,4107,173,$259.00
PWR-60336,CPU - 120mm PWM,West Coast Dist,746,174,$17.60
SKU-EL-99245,SSD - USB-C 2m,East Coast Fulfillment,1243,311,$287.60
COMP-59431,Mouse - Wireless,Express Logistics (WH-03),4187,339,$454.56
SKU-EL-93444,GPU - 27-inch 4K,East Coast Fulfillment,2664,241,$694.49
COMP-90216,Cable - 27-inch 4K,Central Hub (WH-01),846,163,$784.29
MOD-62294,HDD - Wireless,West Coast Dist,3038,34,$203.06
PWR-15857,Cable - Intel Core i7,East Coast Fulfillment,4336,103,$203.02
PRD-HW-99681,Motherboard - 27-inch 4K,East Coast Fulfillment,1678,164,$472.10
PWR-32934,Monitor - Wireless,Regional Depot (WH-02),1620,313,$85.47
SKU-EL-52438,SSD - 120mm PWM,West Coast Dist,1370,303,$775.34
PRD-HW-90134,Mouse - 1TB NVMe,East Coast Fulfillment,1725,192,$59.67
PWR-34793,RAM - Mid-Tower,Regional Depot (WH-02),1560,435,$697.14
MOD-59831,SSD - Mechanical RGB,Regional Depot (WH-02),215,397,$46.50
PWR-73733,Cable - 120mm PWM,Express Logistics (WH-03),2065,438,$223.04
PRD-HW-96854,Cable - 32GB DDR5,East Coast Fulfillment,3253,436,$363.26
PRD-HW-37436,HDD - USB-C 2m,Express Logistics (WH-03),881,480,$215.99
PRD-HW-94888,Cable - 120mm PWM,East Coast Fulfillment,3726,301,$510.43
PWR-78910,Mouse - Intel Core i7,East Coast Fulfillment,2836,102,$496.01
MOD-84269,Monitor - 2TB 7200RPM,Regional Depot (WH-02),3297,473,$239.74
PWR-87290,Cooling Fan - 120mm PWM,Express Logistics (WH-03),3553,461,$109.82
COMP-2689,GPU - 27-inch 4K,West Coast Dist,2722,366,$699.41
PRD-HW-40538,SSD - 32GB DDR5,Express Logistics (WH-03),796,178,$300.78
PRD-HW-30017,Cooling Fan - RTX 4070,Regional Depot (WH-02),387,374,$401.45
SKU-EL-67749,HDD - USB-C 2m,West Coast Dist,388,284,$673.81
SKU-EL-64822,SSD - ATX,Express Logistics (WH-03),785,271,$426.78
PRD-HW-69559,SSD - 1TB NVMe,Express Logistics (WH-03),563,425,$10.36
PRD-HW-96954,GPU - Mechanical RGB,Central Hub (WH-01),3569,66,$184.62
COMP-27490,SSD - Mid-Tower,East Coast Fulfillment,2778,346,$514.74
PWR-82631,GPU - Mid-Tower,Express Logistics (WH-03),3798,50,$118.19
MOD-9347,Motherboard - Mechanical RGB,Regional Depot (WH-02),3654,56,$540.13
SKU-EL-7214,SSD - Intel Core i7,Express Logistics (WH-03),3633,410,$714.81
SKU-EL-33847,Mouse - Intel Core i7,Central Hub (WH-01),2226,429,$282.86
MOD-37842,Power Supply - 120mm PWM,West Coast Dist,4381,473,$318.53
PRD-HW-65303,Case - 1TB NVMe,Regional Depot (WH-02),4631,196,$522.47
PRD-HW-7520,SSD - 1TB NVMe,East Coast Fulfillment,4464,236,$546.03
PRD-HW-2127,Motherboard - Intel Core i7,East Coast Fulfillment,4861,20,$112.01
PWR-55627,HDD - USB-C 2m,East Coast Fulfillment,3218,249,$686.73
PWR-68348,RAM - USB-C 2m,Express Logistics (WH-03),28,192,$540.48
